,pubchem id,common name,flavor profile
147,7707,3-Phenylpropanal,"{'storax', 'chocolate', 'fresh', 'green', 'leaf', 'cortex', 'strawberry', 'clove', 'cinnamon', 'foliage', 'balsam', 'hyacinth', 'honey'}"
148,7708,Benzyl formate,"{'apricot', 'fruity', 'floral', 'black tea', 'pineapple', 'spicy', 'almond', 'cranberry'}"
149,7710,gamma-Nonanolactone,"{'creamy', 'sweet', 'buttery', 'oily', 'waxy', 'coconut', 'peach'}"
150,7711,2-Phenylethyl formate,"{'herbal', 'green', 'bitter', 'rose', 'watercress', 'hyacinth'}"
151,7720,2-Ethylhexan-1-ol,"{'citrus', 'sweet', 'fresh', 'green', 'floral', 'rose', 'oily'}"
152,7728,5-Ethyl-2-methylpyridine,"{'nutty', 'strong', 'earthy', 'roasted', 'raw', 'potato'}"
153,7731,4-Methylanisole,"{'camphoraceous', 'cresol', 'nutty', 'naphthyl', 'ylang', 'powdery', 'cedar'}"
154,7742,gamma-Heptalactone,"{'caramel', 'nut', 'nutty', 'hay', 'sweet', 'fat', 'tonka', 'fruit', 'coconut'}"
155,7749,Ethyl Propionate,"{'sweet', 'rum', 'fruity', 'grape', 'juicy', 'pineapple', 'fruit'}"
156,7755,3-Methylvaleric acid,"{'sweaty', 'acidic', 'sharp', 'green', 'fruity', 'cheesy', 'animal'}"
157,7761,Diethyl Malonate,"{'sweet', 'apple', 'fruity', 'green'}"
158,7762,Ethyl Butyrate,"{'apple', 'banana', 'fruity', 'juicy', 'pineapple', 'fruit', 'cognac'}"
159,7765,Acetal,"{'ether', 'nut', 'sweet', 'green', 'earthy', 'vegetable', 'cream', 'fruit', 'tart', 'honey'}"
160,7770,Propyl butyrate,"{'sweaty', 'solvent', 'rancid', 'sweet', 'apricot', 'fruity', 'pineapple'}"
161,7772,Isoamyl propionate,"{'banana', 'sweet', 'fruity', 'bitter', 'ripe', 'tropical', 'pineapple', 'fruit', 'tomato'}"
162,7775,Isobutyl hexanoate,"{'sweet', 'green', 'fruity', 'tropical', 'pineapple', 'peach'}"
163,7795,Isoamyl butyrate,"{'tropica', 'banana', 'apricot', 'green', 'fruity', 'papaya', 'whiskey', 'hop_oil', 'pear', 'melon'}"
164,7797,Ethyl Heptanoate,"{'plum', 'rum', 'fruity', 'wine', 'pineapple', 'fruit', 'melon', 'cognac'}"
165,7799,Ethyl Octanoate,"{'banana', 'sweet', 'apricot', 'fruity', 'fat', 'wine', 'waxy', 'fruit', 'pear', 'brandy'}"
166,7800,Ethyl dodecanoate,"{'sweet', 'leaf', 'clean', 'floral', 'soapy', 'waxy'}"
167,7802,3-Heptanone,"{'fatty', 'powerful', 'green', 'fruity'}"
168,7803,Propyl Propionate,"{'chemical', 'sweet', 'sharp', 'fruity', 'bitter', 'pungent', 'pineapple'}"
169,7824,Methyl Hexanoate,"{'ether', 'sweet', 'fresh', 'fruity', 'pineapple', 'fruit'}"
170,7826,Methyl Heptanoate,"{'berry', 'orris', 'sweet', 'green', 'floral', 'waxy', 'fruit'}"
171,7847,Acrolein,"{'cherry', 'almond'}"
172,7848,1-Propanethiol,"{'cabbage', 'sweet', 'natural', 'gassy', 'onion'}"
173,7858,Allyl Alcohol,"{'mustard', 'pungent'}"
174,7894,Isoamylamine,"{'ammonia', 'unpleasant'}"
175,7895,2-Pentanone,"{'ether', 'fishy', 'banana', 'sweet', 'potato', 'fruity', 'wine', 'ethereal', 'fruit', 'woody', 'alcohol'}"
176,7909,4-Methyl-2-pentanone,"{'dairy', 'solvent', 'herbal', 'sharp', 'green', 'fruity', 'spice'}"
177,7915,Isopropyl Acetate,"{'chemical', 'banana', 'sweet', 'fruity', 'ethereal'}"
178,7921,gamma-Valerolactone,"{'herbal', 'sweet', 'tobacco', 'cocoa', 'warm', 'woody'}"
179,7937,"2,6-Dimethylpyridine","{'amine', 'nutty', 'bready', 'cocoa', 'oily', 'woody'}"
180,7938,"2,6-Dimethylpyrazine","{'roasted nut', 'cocoa', 'roasted nuts', 'roast beef', 'coffee'}"
181,7945,Ethyl Isovalerate,"{'apple', 'sweet', 'fruity', 'tutti frutti', 'pineapple', 'fruit'}"
182,7957,"2,6-Dimethyl-4-heptanol","{'fresh', 'mild', 'yeasty', 'ethereal', 'fermented'}"
183,7958,"2,6-Dimethyl-4-heptanone","{'banana', 'metallic', 'green', 'fruity', 'pineapple'}"
184,7976,2-Methylpyrazine,"{'chocolate', 'popcorn', 'nutty', 'green', 'cocoa', 'roasted', 'peanut'}"
185,7997,Propyl acetate,"{'celery', 'solvent', 'raspberry', 'fruity', 'bitter', 'fusel', 'pear'}"
186,8007,Butylamine,"{'ammonia', 'fishy'}"
187,8025,Ethyl Formate,"{'green', 'bitter', 'rose', 'pungent', 'ethereal', 'alcohol', 'cognac'}"
188,8027,Pyrrole,"{'nutty', 'sweet', 'ethereal', 'warm'}"
189,8038,Isobutyl Acetate,"{'apple', 'banana', 'sweet', 'fruity', 'bitter', 'tropical', 'ethereal', 'fruit'}"
190,8042,Isopropyl Myristate,"{'faint', 'oily', 'fatty', 'cinnamon'}"
191,8048,Ethyl Decanoate,"{'apple', 'sweet', 'fruity', 'grape', 'oily', 'waxy', 'pear', 'brandy'}"
192,8051,2-Heptanone,"{'herbal', 'sweet', 'woody', 'fruity', 'cinnamon', 'spicy', 'soap', 'coconut'}"
193,8052,Isopentyl formate,"{'plum', 'green', 'earthy', 'dry', 'vinous', 'ethereal', 'blackcurrant', 'fruit'}"
194,8063,Pentanal,"{'berry', 'nutty', 'bready', 'fruity', 'pungent', 'malt', 'almond', 'fermented'}"
195,8073,Propyl Formate,"{'berry', 'sweet', 'rum', 'green', 'bitter', 'fruity', 'ethereal'}"
196,8082,Piperidine,"{'heavy', 'sweet', 'bitter', 'floral', 'animal'}"
197,8091,Methyl octanoate,"{'aldehydic', 'herbal', 'sweet', 'green', 'vegetable', 'orange', 'waxy'}"
198,8093,Octan-2-one,"{'herbal', 'woody', 'natural', 'earthy', 'bitter', 'gasoline', 'soap', 'weedy'}"
199,8094,Heptanoic Acid,"{'rancid', 'cheesy', 'sour', 'sweat', 'cheese'}"
200,8103,1-Hexanol,"{'resin', 'sweet', 'green', 'fruity', 'alcoholic', 'ethereal', 'oil', 'fusel', 'flower'}"
201,8122,Ethyl Stearate,"{'waxy', 'mild'}"
202,8129,1-Heptanol,"{'chemical', 'peony', 'leafy', 'herbal', 'sweet', 'green', 'musty', 'strawberry', 'violet', 'woody', 'coconut'}"
203,8130,Heptanal,"{'aldehydic', 'wine-lee', 'herbal', 'rancid', 'citrus', 'fresh', 'green', 'ozone', 'fat', 'fatty'}"
204,8139,Methyl Dodecanoate,"{'creamy', 'mushroom', 'fat', 'soapy', 'waxy', 'coconut'}"
205,8158,Nonanoic Acid,"{'cultured dairy', 'green', 'fat', 'dirty', 'waxy', 'cheese'}"
206,8159,Heptyl acetate,"{'apricot', 'fresh', 'green', 'rum', 'ripe', 'fruit', 'pear', 'woody'}"
207,8163,2-Undecanone,"{'creamy', 'orris', 'fresh', 'green', 'fruity', 'floral', 'orange', 'fatty', 'waxy', 'iris'}"
208,8164,Octyl acetate,"{'herbal', 'mushroom', 'green', 'earthy', 'waxy'}"
209,8167,Decyl Acetate,"{'pineapple', 'citrus', 'fresh', 'clean', 'rose', 'orange', 'oil', 'soapy', 'waxy', 'laundered cloths'}"
210,8169,Heptyl formate,"{'plum', 'apple', 'herbal', 'green', 'cucumber', 'floral', 'waxy'}"
211,8174,1-Decanol,"{'sweet', 'clean', 'fat', 'rose', 'orange', 'fatty', 'floral', 'waxy', 'watery'}"
212,8175,Decanal,"{'aldehydic', 'tallow', 'orange peel', 'citrus', 'sweet', 'floral', 'waxy', 'soap'}"
213,8180,Undecanoic Acid,"{'creamy', 'oil', 'fatty', 'waxy', 'coconut', 'cheese'}"
214,8184,1-Undecanol,"{'citrus', 'fresh', 'floral', 'rose', 'soapy', 'clean clothes', 'waxy', 'mandarin'}"
215,8186,Undecanal,"{'aldehydic', 'citrus', 'sweet', 'fresh', 'green', 'floral', 'pungent', 'oil', 'fatty', 'waxy', 'soapy', 'laundry'}"
216,8193,1-Dodecanol,"{'wax', 'earthy', 'fat', 'soapy', 'fatty', 'waxy', 'coconut', 'honey'}"
217,8194,Dodecanal,"{'aldehydic', 'citrus', 'green', 'floral', 'fat', 'soapy', 'waxy', 'lily'}"
218,8294,Linalyl Acetate,"{'fruit', 'citrus', 'sweet', 'lavender', 'green', 'bergamot', 'woody'}"
219,8314,2-Methylbutanoic acid,"{'acid', 'roquefort cheese', 'pungent', 'sour', 'strawberry', 'sweat', 'cheese'}"
220,8365,Ethyl salicylate,"{'mint', 'sweet', 'floral', 'minty', 'wintergreen', 'spicy', 'balsam'}"
221,8369,Maltol,"{'caramel', 'sweet', 'baked', 'fruity', 'jam', 'candy', 'cotton', 'bread'}"
222,8375,2'-Hydroxyacetophenone,"{'hawthorne', 'hawthorn', 'herbal', 'sweet', 'tobacco', 'phenolic', 'honey'}"
223,8432,1-Phenylethyl propionate,"{'gardenia', 'sweet', 'fresh', 'green', 'floral', 'rose', 'weedy'}"
224,8438,Piperonal,"{'sweet', 'heliotrope', 'bitter', 'vanilla', 'powdery', 'violet', 'flower', 'coconut'}"
225,8452,Cyclopentanone,{'minty'}
226,8468,Vanillic acid,"{'creamy', 'dairy', 'bean', 'sweet', 'vanilla', 'powdery', 'milky'}"
227,8499,Methyl 4-Methoxybenzoate,"{'herbal', 'sweet', 'anise', 'balsam', 'melon'}"
228,8500,4'-Methylacetophenone,"{'cherry', 'hawthorne', 'hawthorn', 'acetophenone', 'sweet', 'mimosa', 'coumarin', 'bitter almond'}"
229,8635,Methyl Anthranilate,"{'honey', 'lime', 'medicinal', 'orange flower', 'bitter', 'grape', 'fruity', 'neroli', 'strawberry', 'flower', 'lemon', 'grapefruit'}"
230,8655,Syringaldehyde,"{'plastic', 'sweet', 'mild', 'tonka', 'woody'}"
231,8712,2-Methylbenzenethiol,"{'meaty', 'rubber', 'onion', 'sulfurous', 'egg', 'garlic'}"
232,8723,2-Methyl-1-Butanol,"{'fruity', 'wine', 'roasted', 'onion', 'malt'}"
233,8738,Butyl Lactate,"{'creamy', 'mushroom', 'fruity', 'waxy', 'fermented'}"
234,8748,Beta-Terpineol,"{'must', 'woody', 'pungent', 'earthy'}"
235,8768,"3,4-Dihydroxybenzaldehyde","{'medical', 'almond', 'dry', 'bitter'}"
236,8785,Benzyl Acetate,"{'cherry', 'plum', 'apple', 'sweet', 'apricot', 'fresh', 'bitter', 'fruity', 'jasmine', 'floral', 'jasmin', 'boiled vegetable'}"
237,8792,Phenylethyl isovalerate,"{'sweet', 'apricot', 'fruity', 'bitter', 'floral', 'rose', 'peach'}"
